rank,artist,song,kpop,link,views,thumbnail,channel
1,BTS (방탄소년단), 'Butter' Official MV,TRUE,https://www.youtube.com/watch?v=WMweEpGlu_U,108.2M,butter,HYBE LABELS
2,BTS (방탄소년단), 'Dynamite' Official MV,TRUE,https://www.youtube.com/watch?v=gdZLi9oWNZg,101.1M,dynamite,HYBE LABELS
3,BLACKPINK,Pink Venom’ M/V,TRUE,https://www.youtube.com/watch?v=gQlMMD8auMs,90.4M,pink-venom,BLACKPINK
4,BLACKPINK,How You Like That' M/V,TRUE,https://www.youtube.com/video/ioNng23DkIM,86.3M,like-that,BLACKPINK
5,BLACKPINK,Ice Cream (with Selena Gomez)' M/V,TRUE,https://www.youtube.com/video/vRXZj0DzXIA,79M,ice-cream,BLACKPINK
6,BTS (방탄소년단),작은 것들을 위한 시 (Boy With Luv) (feat. Halsey)' Official MV,TRUE,https://www.youtube.com/video/XsX3ATc3FbA,74.6M,luv,HYBE LABELS
7,LISA,LALISA' M/V,TRUE,https://www.youtube.com/video/awkkyBH2zEo,73.6M,lalisa,BLACKPINK
8,BTS (방탄소년단),Permission to Dance' Official MV,TRUE,https://www.youtube.com/video/CuklIb9d3fI,72.3M,dance,HYBE LABELS
9,BTS (방탄소년단),Life Goes On' Official MV,TRUE,https://www.youtube.com/video/-5q5mZbe3V8,71.6M,life,HYBE LABELS
10,Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco) ft. Brendon Urie,FALSE,https://www.youtube.com/video/FuXNumBwDOM,65M,taylor,Taylor Swift
